Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
2.439;13011-58110-025;SDT10189ZZ;ANILLAS TOY.15B  DIESEL  108MM  RECTO;NPR;JAPON;TOYOTA;JGO;025                               SDT10189ZZ;0,00
2.440;04491-35170-S;AN-303WK/A303W/D436;PASTILLA FRENO DEL.TOY.2L-T/4WD/HILUX/SURF/RUNNER/TACOMA 88-96-04  ok*;UNI/STAR;KOREA;TOYOTA;JGO;48x113x119x60 C/H  AN-303WK A303WK-C/HN-219L/D436;0,00
2.441;04491-35170-J-FBK;HN-219L/D436/AN303WK;PASTILLA FRENO DEL.TOY.2L-T/4WD/HILUX/SURF/RUNNER/TACOMA 88-96-04  ok*;FBK;JAPON;TOYOTA;JGO;48x113x119x60 C/H     /AN-303WK A303WK-C/HN-219L;0,00
2.442;13011-58110-STD;SDT10189ZZ;ANILLAS TOY.15B  DIESEL  108MM  RECTO;NPR;JAPON;TOYOTA;JGO;STD                        SDT10189ZZ;0,00
2.443;04495-26240;FN-2378;KIT BALATAS TRAS.TOY.1TR/LH212/202 HIACE 05-  ok*;FBK;JAPON;TOYOTA;JGO;50x220;0,00
2.444;04495-42040;FN-2333;KIT BALATAS TRAS.TOY.RAV4/ACAW20/21 00-;FBK;JAPON;TOYOTA;JGO;40x195;0,00
2.445;04495-26240-T;TN-2378;KIT BALATAS TRAS.TOY.1TR/LH212/202 HIACE 05-  ok*;HASAKI;TW;TOYOTA;JGO;50x220;208,12
2.446;30620-4Z000;;CILINDRO AUXILIAR EMBRAGUE NIS.B15/QG13/QG15/QG18 3/4 00-;ROCKY;JAPON;NISSAN;PZA;2PERx28.5;0,00
2.447;30620-0W020;SR-N1118;CILINDRO AUXILIAR EMBRAGUE NIS.R50/VQ40 NEW 3/4 PATHFINDER T/A12/T/L16/ED33;SEIKEN/JBS;JAPON;NISSAN;PZA;2PERx71x3/4xFIERRO            SR-N1118;0,00
2.448;13011-61010-025;SWT10049-NPR;ANILLAS TOY.2F   94MM  2x2.5x4;NPR;JAPON;TOYOTA;JGO;025-SWT10049-NPR;0,00
2.449;13011-61010-050;SWT10049-NPR;ANILLAS TOY.2F   94MM  2x2.5x4;NPR;JAPON;TOYOTA;JGO;050-SWT10049-NPR;0,00
2.450;13011-61010-075;SWT10049-NPR;ANILLAS TOY.2F   94MM  2x2.5x4;NPR;JAPON;TOYOTA;JGO;075-SWT10049-NPR;0,00
2.451;13011-61010-1.00;SWT10049-NPR;ANILLAS TOY.2F   94MM  2x2.5x4;NPR;JAPON;TOYOTA;JGO;0.100-SWT10049-NPR;0,00
2.452;04491-36010;;PASTILLA FRENO DEL.TOY.2B/3B    OLD;ICHIBAN;JP.;TOYOTA;JGO;122x49.5;0,00
2.453;13011-61010-STD;SWT10049-NPR;ANILLAS TOY.2F   94MM  2x2.5x4;NPR;JAPON;TOYOTA;JGO;STD-SWT10049-NPR;0,00
2.454;04421-30011-KOYO;DG357226W2RSC4;RODAMIENTO RUEDA TRAS.TOY.5K/2T  PALIER   GRANDE;KOYO;JAPON;TOYOTA;PZA;35x72x17x26      DG357226W2RSC4;0,00
2.455;11071-62022-STD;M704A1;CASQ.BANCADA TOY.3VZ-FE/5VZ-FE;TAHIO*;JAPON;TOYOTA;JGO;STD                    M704A1;0,00
2.456;11071-62022-025;M704A1;CASQ.BANCADA TOY.3VZ-FE/5VZ-FE;TAHIO*;JAPON;TOYOTA;JGO;025                     M704A1;0,00
